home_team,away_team,home_goals,away_goals
Everton,Derby County,0,0
Manchester City,West Ham United,4,0
Stoke City,Leeds United,3,0
Birmingham City,Middlesbrough,0,3
Sheffield United,Queens Park Rangers,1,1
Leicester City,Arsenal,0,1
Chelsea,Carlisle United,0,2
Newcastle United,Coventry City,3,2
Tottenham Hotspur,Ipswich Town,0,1
Luton Town,Liverpool,1,2
Burnley,Wolverhampton Wanderers,1,2
West Ham United,Luton Town,2,0
Wolverhampton Wanderers,Liverpool,0,0
Everton,Stoke City,2,1
Arsenal,Ipswich Town,0,1
Derby County,Coventry City,1,1
Manchester City,Tottenham Hotspur,1,0
Leeds United,Queens Park Rangers,0,1
Chelsea,Burnley,3,3
Newcastle United,Sheffield United,2,2
Derby County,Sheffield United,2,0
Queens Park Rangers,Stoke City,0,1
West Ham United,Everton,2,3
Leeds United,Birmingham City,1,0
Middlesbrough,Luton Town,1,1
Arsenal,Manchester City,4,0
Carlisle United,Tottenham Hotspur,1,0
Ipswich Town,Burnley,2,0
Wolverhampton Wanderers,Newcastle United,4,2
Coventry City,Chelsea,1,3
Liverpool,Leicester City,2,1
Coventry City,Derby County,1,1
Queens Park Rangers,Leeds United,1,1
Burnley,Chelsea,1,2
Carlisle United,Middlesbrough,0,1
Leicester City,Birmingham City,1,1
Sheffield United,Newcastle United,2,1
Stoke City,Everton,1,1
Tottenham Hotspur,Manchester City,1,2
Luton Town,West Ham United,0,0
Tottenham Hotspur,Derby County,2,0
Everton,Arsenal,2,1
Chelsea,Liverpool,0,3
Stoke City,Middlesbrough,1,1
Luton Town,Queens Park Rangers,1,1
Manchester City,Leeds United,2,1
Birmingham City,Wolverhampton Wanderers,1,1
Newcastle United,West Ham United,2,0
Leicester City,Carlisle United,1,1
Sheffield United,Ipswich Town,3,1
Burnley,Coventry City,3,0
Derby County,Newcastle United,2,2
Liverpool,Tottenham Hotspur,5,2
Ipswich Town,Everton,1,0
Carlisle United,Stoke City,0,2
Middlesbrough,Chelsea,1,1
Coventry City,Manchester City,2,2
Leeds United,Luton Town,1,1
Queens Park Rangers,Birmingham City,0,1
West Ham United,Sheffield United,1,2
Arsenal,Burnley,0,1
Wolverhampton Wanderers,Leicester City,1,1
Birmingham City,Derby County,3,2
Manchester City,Liverpool,2,0
Everton,Wolverhampton Wanderers,0,0
Stoke City,Coventry City,2,0
Sheffield United,Middlesbrough,1,0
Burnley,Leeds United,2,1
Leicester City,Queens Park Rangers,3,1
Tottenham Hotspur,West Ham United,2,1
Chelsea,Arsenal,0,0
Luton Town,Ipswich Town,1,4
Newcastle United,Carlisle United,1,0
Derby County,Burnley,3,2
Liverpool,Stoke City,3,0
Coventry City,Everton,1,1
Middlesbrough,Manchester City,3,0
Leeds United,Sheffield United,5,1
Queens Park Rangers,Newcastle United,1,2
Arsenal,Luton Town,2,2
West Ham United,Leicester City,6,2
Carlisle United,Birmingham City,1,0
Ipswich Town,Chelsea,2,0
Wolverhampton Wanderers,Tottenham Hotspur,2,3
Liverpool,Burnley,0,1
Everton,Queens Park Rangers,2,2
Stoke City,Ipswich Town,1,3
Manchester City,Carlisle United,0,0
Coventry City,Luton Town,2,1
Derby County,Chelsea,4,1
West Ham United,Birmingham City,3,0
Stoke City,Derby County,1,1
Sheffield United,Liverpool,1,0
Everton,Leeds United,3,2
Tottenham Hotspur,Middlesbrough,1,2
Manchester City,Queens Park Rangers,1,0
Leicester City,Coventry City,0,1
Birmingham City,Arsenal,3,1
Burnley,West Ham United,3,5
Luton Town,Carlisle United,3,1
Newcastle United,Ipswich Town,1,0
Chelsea,Wolverhampton Wanderers,0,1
West Ham United,Derby County,2,2
Carlisle United,Liverpool,0,1
Middlesbrough,Wolverhampton Wanderers,2,1
Manchester City,Chelsea,1,1
Leeds United,Arsenal,2,0
Queens Park Rangers,Ipswich Town,1,0
Stoke City,Sheffield United,3,2
Everton,Newcastle United,1,1
Birmingham City,Coventry City,1,2
Leicester City,Luton Town,0,0
Tottenham Hotspur,Burnley,2,3
Derby County,Leicester City,1,0
Liverpool,Middlesbrough,2,0
Sheffield United,Everton,2,2
Newcastle United,Stoke City,2,2
Burnley,Manchester City,2,1
Ipswich Town,Leeds United,0,0
Arsenal,Queens Park Rangers,2,2
Coventry City,West Ham United,1,1
Luton Town,Birmingham City,1,3
Chelsea,Tottenham Hotspur,1,0
Wolverhampton Wanderers,Carlisle United,2,0
Derby County,Sheffield United,2,1
Everton,West Ham United,1,1
Leeds United,Birmingham City,0,1
Burnley,Ipswich Town,1,0
Middlesbrough,Luton Town,1,0
Manchester City,Arsenal,2,1
Newcastle United,Wolverhampton Wanderers,0,0
Tottenham Hotspur,Carlisle United,1,1
Carlisle United,Derby County,3,0
Everton,Chelsea,1,1
Stoke City,Burnley,2,0
Middlesbrough,Coventry City,4,4
Manchester City,Luton Town,1,0
Leeds United,Wolverhampton Wanderers,2,0
Queens Park Rangers,Liverpool,0,1
West Ham United,Ipswich Town,1,0
Arsenal,Tottenham Hotspur,0,2
Birmingham City,Newcastle United,3,0
Leicester City,Sheffield United,3,0
Luton Town,Tottenham Hotspur,1,1
